as_of,asset_id,horizon,horizon_days,target_date,point_pct,low_pct,high_pct,band_width_pct,band_skew,interval,p_up,confidence,n_drivers,driver_max_weight,is_mechanical,model_id,band_shadow_low,band_shadow_high,band_shadow_rule
2026-08-02,A2,1d,1,2026-08-03,0.9,-1.2,3.0,4.2,0.9,80,0.62,medium,1,high,1,model_A,,,
2026-08-02,A2,1w,7,2026-08-10,0.5,-4.3,5.3,9.6,0.5,80,0.53,low,3,high,0,model_A,,,
2026-08-02,A2,1m,30,2026-09-01,1.6,-10.5,13.5,24.0,1.5,80,0.55,low,3,high,0,model_A,,,
2026-08-02,A3,1d,1,2026-08-03,0.1,-0.5,0.7,1.2,0.1,80,0.6,low,2,high,0,model_A,,,
2026-08-02,A3,1w,7,2026-08-10,0.75,-0.8,2.3,3.1,0.75,80,0.7,low,2,high,0,model_A,,,
2026-08-02,A3,1m,30,2026-09-01,3.2,-2.0,8.0,10.0,3.0,80,0.7,low,2,high,0,model_A,,,
2026-08-03,A1,1d,1,2026-08-04,-0.3,-2.5,2.0,4.5,-0.25,80,0.45,low,2,high,0,model_A,,,
2026-08-03,A1,1w,7,2026-08-10,-1.0,-6.0,5.0,11.0,-0.5,80,0.42,low,2,high,0,model_A,,,
2026-08-03,A1,1m,30,2026-09-02,-2.0,-11.0,9.0,20.0,-1.0,80,0.42,low,2,high,0,model_A,,,
2026-08-03,A4,1d,1,2026-08-04,-0.3,-2.3,1.7,4.0,-0.3,80,0.45,low,1,high,1,model_A,,,
2026-08-03,A4,1w,7,2026-08-10,-0.8,-5.5,4.5,10.0,-0.5,80,0.44,low,2,high,0,model_A,,,
2026-08-03,A4,1m,30,2026-09-02,-1.5,-10.0,8.0,18.0,-1.0,80,0.43,low,2,high,0,model_A,,,
2026-08-03,A2,1d,1,2026-08-04,0.8,-1.4,3.0,4.4,0.8,80,0.6,low,3,high,1,model_A,,,
2026-08-03,A2,1w,7,2026-08-10,1.0,-5.5,7.5,13.0,1.0,80,0.55,low,2,high,0,model_A,,,
2026-08-03,A2,1m,30,2026-09-02,2.0,-12.0,16.0,28.0,2.0,80,0.55,low,2,high,0,model_A,,,
2026-08-03,A5,1m,30,2026-09-02,2.0,-9.0,14.0,23.0,2.5,80,0.58,low,2,medium,0,model_A,,,
2026-08-03,A6,1m,30,2026-09-02,1.8,-1.0,6.0,7.0,2.5,80,0.7,medium,2,medium,1,model_A,,,
2026-08-03,A3,1d,1,2026-08-04,0.6,-1.8,3.4,5.2,0.8,80,0.54,low,3,high,1,model_A,,,
2026-08-03,A3,1w,7,2026-08-10,0.9,-6.8,8.8,15.6,1.0,80,0.53,low,3,high,0,model_A,,,
2026-08-03,A3,1m,30,2026-09-02,1.9,-14.8,18.8,33.6,2.0,80,0.52,low,2,high,0,model_A,,,
2026-08-04,A1,1d,1,2026-08-05,0.15,-1.6,1.9,3.5,0.15,80,0.54,low,4,high,0,model_A,,,
2026-08-04,A1,1w,7,2026-08-11,0.3,-4.5,5.5,10.0,0.5,80,0.52,low,3,high,0,model_A,,,
2026-08-04,A1,1m,30,2026-09-03,0.5,-9.0,11.0,20.0,1.0,80,0.52,low,3,high,1,model_A,,,
2026-08-04,A4,1d,1,2026-08-05,0.1,-2.0,2.2,4.2,0.1,80,0.52,low,3,high,1,model_A,,,
2026-08-04,A4,1w,7,2026-08-11,0.3,-5.0,5.5,10.5,0.25,80,0.52,low,2,high,0,model_A,,,
2026-08-04,A4,1m,30,2026-09-03,0.3,-9.5,11.0,20.5,0.75,80,0.51,low,2,high,1,model_A,,,
2026-08-04,A2,1d,1,2026-08-05,0.1,-2.2,2.4,4.6,0.1,80,0.51,low,3,high,1,model_A,,,
2026-08-04,A2,1w,7,2026-08-11,0.5,-5.5,6.5,12.0,0.5,80,0.53,low,3,high,0,model_A,,,
2026-08-04,A2,1m,30,2026-09-03,2.0,-11.0,16.0,27.0,2.5,80,0.58,low,3,high,0,model_A,,,
2026-08-04,A6,1d,1,2026-08-05,0.06,-0.2,0.35,0.55,0.075,80,0.6,low,1,high,0,model_A,,,
2026-08-04,A6,1w,7,2026-08-11,0.42,-0.3,1.2,1.5,0.45,80,0.65,medium,1,high,0,model_A,,,
2026-08-04,A6,1m,30,2026-09-03,1.8,-0.5,4.0,4.5,1.75,80,0.7,medium,1,high,0,model_A,,,
2026-08-04,A3,1d,1,2026-08-05,0.08,-2.6,2.9,5.5,0.15,80,0.52,low,3,high,0,model_A,,,
2026-08-04,A3,1w,7,2026-08-11,0.48,-6.6,7.8,14.4,0.6,80,0.53,low,4,high,0,model_A,,,
2026-08-04,A3,1m,30,2026-09-03,1.91,-13.2,19.2,32.4,3.0,80,0.53,low,4,high,0,model_A,,,
2026-08-05,A2,1d,1,2026-08-06,1.5,-1.5,5.0,6.5,1.75,80,0.62,low,3,high,1,model_A,,,
2026-08-05,A2,1w,7,2026-08-12,1.0,-6.0,8.0,14.0,1.0,80,0.55,low,2,high,0,model_A,,,
2026-08-05,A2,1m,30,2026-09-04,2.0,-12.0,17.0,29.0,2.5,80,0.55,low,2,high,0,model_A,,,
2026-08-05,A1,1d,1,2026-08-06,-0.2,-2.5,2.3,4.8,-0.1,80,0.48,low,4,high,0,model_A,,,
2026-08-05,A1,1w,7,2026-08-12,0.5,-4.5,5.5,10.0,0.5,80,0.52,low,3,high,0,model_A,,,
2026-08-05,A1,1m,30,2026-09-04,2.0,-9.0,14.0,23.0,2.5,80,0.56,low,2,high,0,model_A,,,
2026-08-05,A3,1d,1,2026-08-06,1.0,-2.2,4.2,6.4,1.0,80,0.6,low,3,high,0,model_A,,,
2026-08-05,A3,1w,7,2026-08-12,0.8,-5.0,6.5,11.5,0.75,80,0.55,low,3,high,0,model_A,,,
2026-08-05,A3,1m,30,2026-09-04,1.8,-10.0,14.0,24.0,2.0,80,0.55,low,2,high,0,model_A,,,
2026-08-05,A4,1d,1,2026-08-06,0.8,-2.2,3.8,6.0,0.8,80,0.6,low,3,high,1,model_A,,,
2026-08-05,A4,1w,7,2026-08-12,0.6,-5.0,6.0,11.0,0.5,80,0.53,low,3,high,0,model_A,,,
2026-08-05,A4,1m,30,2026-09-04,1.8,-10.0,14.0,24.0,2.0,80,0.55,low,1,high,0,model_A,,,
2026-08-05,A5,1d,1,2026-08-06,0.0,-2.6,2.6,5.2,0.0,80,0.5,low,2,high,0,model_A,,,
2026-08-05,A5,1w,7,2026-08-12,0.5,-5.5,6.5,12.0,0.5,80,0.52,low,1,high,0,model_A,,,
2026-08-05,A5,1m,30,2026-09-04,2.5,-11.0,16.0,27.0,2.5,80,0.55,low,1,high,0,model_A,,,
2026-08-05,A6,1d,1,2026-08-06,0.05,-0.2,0.35,0.55,0.075,80,0.56,low,1,high,0,model_A,,,
2026-08-05,A6,1w,7,2026-08-12,0.4,-0.6,1.4,2.0,0.4,80,0.62,low,1,high,0,model_A,,,
2026-08-05,A6,1m,30,2026-09-04,1.8,-1.0,4.5,5.5,1.75,80,0.7,low,1,high,0,model_A,,,
2026-08-06,A1,1d,1,2026-08-07,0.3,-2.0,2.6,4.6,0.3,80,0.54,low,4,high,0,model_A,,,
2026-08-06,A1,1w,7,2026-08-13,0.6,-4.5,6.0,10.5,0.75,80,0.53,low,3,high,0,model_A,,,
2026-08-06,A1,1m,30,2026-09-07,2.5,-9.0,15.0,24.0,3.0,80,0.57,low,3,high,0,model_A,,,
2026-08-06,A2,1d,1,2026-08-07,-0.5,-3.5,3.0,6.5,-0.25,80,0.42,low,3,high,1,model_A,,,
2026-08-06,A2,1w,7,2026-08-13,0.5,-7.0,8.0,15.0,0.5,80,0.52,low,3,high,0,model_A,,,
2026-08-06,A2,1m,30,2026-09-07,1.5,-13.0,17.0,30.0,2.0,80,0.54,low,2,medium,0,model_A,,,
2026-08-06,A3,1d,1,2026-08-07,-0.3,-3.2,3.0,6.2,-0.1,80,0.44,low,3,high,0,model_A,,,
2026-08-06,A3,1w,7,2026-08-13,0.5,-5.5,6.5,12.0,0.5,80,0.52,low,3,high,0,model_A,,,
2026-08-06,A3,1m,30,2026-09-07,1.5,-11.0,15.0,26.0,2.0,80,0.54,low,2,medium,0,model_A,,,
2026-08-06,A4,1d,1,2026-08-07,1.2,-1.8,4.5,6.3,1.35,80,0.6,low,2,high,1,model_A,,,
2026-08-06,A4,1w,7,2026-08-13,0.6,-5.0,6.5,11.5,0.75,80,0.53,low,2,high,0,model_A,,,
2026-08-06,A4,1m,30,2026-09-07,2.2,-10.0,15.0,25.0,2.5,80,0.56,low,3,high,0,model_A,,,
2026-08-06,A5,1d,1,2026-08-07,0.0,-3.0,3.0,6.0,0.0,80,0.5,low,1,medium,0,model_A,,,
2026-08-06,A5,1w,7,2026-08-13,0.4,-6.0,6.5,12.5,0.25,80,0.52,low,2,medium,0,model_A,,,
2026-08-06,A5,1m,30,2026-09-07,2.0,-12.0,16.0,28.0,2.0,80,0.54,low,2,medium,0,model_A,,,
2026-08-06,A6,1d,1,2026-08-07,0.07,-0.15,0.35,0.5,0.1,80,0.6,low,1,medium,0,model_A,,,
2026-08-06,A6,1w,7,2026-08-13,0.45,-0.5,1.5,2.0,0.5,80,0.63,low,1,medium,0,model_A,,,
2026-08-06,A6,1m,30,2026-09-07,1.6,-0.8,4.2,5.0,1.7,80,0.72,low,1,medium,0,model_A,,,
2026-08-07,A1,1d,1,2026-08-10,1.4,-0.4,3.2,3.6,1.4,80,0.84,medium,4,,1,model_A,,,
2026-08-07,A1,1w,7,2026-08-14,1.8,-2.0,5.5,7.5,1.75,80,0.66,low,4,,0,model_A,,,
2026-08-07,A1,1m,30,2026-09-07,4.0,-3.5,12.0,15.5,4.25,80,0.7,low,3,,0,model_A,,,
2026-08-07,A6,1d,1,2026-08-10,0.1,-0.2,0.45,0.65,0.125,80,0.62,medium,3,,0,model_A,,,
2026-08-07,A6,1w,7,2026-08-14,0.4,-0.15,1.0,1.15,0.425,80,0.75,medium,2,,0,model_A,,,
2026-08-07,A6,1m,30,2026-09-07,1.9,0.4,3.6,3.2,2.0,80,0.88,medium,3,,0,model_A,,,
2026-08-07,A2,1d,1,2026-08-10,-0.05,-1.4,1.3,2.7,-0.05,80,0.48,medium,2,,0,model_A,,,
2026-08-07,A2,1w,7,2026-08-14,1.6,-3.5,6.5,10.0,1.5,80,0.62,low,3,,0,model_A,,,
2026-08-07,A2,1m,30,2026-09-07,3.0,-7.0,13.0,20.0,3.0,80,0.6,low,4,,0,model_A,,,
2026-08-07,A3,1d,1,2026-08-10,0.0,-1.6,1.6,3.2,0.0,80,0.49,low,2,,0,model_A,,,
2026-08-07,A3,1w,7,2026-08-14,1.4,-3.5,6.0,9.5,1.25,80,0.6,low,3,,0,model_A,,,
2026-08-07,A3,1m,30,2026-09-07,2.6,-7.0,12.0,19.0,2.5,80,0.58,low,3,,0,model_A,,,
2026-08-07,A4,1d,1,2026-08-10,1.0,-0.2,2.3,2.5,1.05,80,0.82,medium,2,,1,model_A,,,
2026-08-07,A4,1w,7,2026-08-14,1.8,-2.5,6.0,8.5,1.75,80,0.66,low,3,,0,model_A,,,
2026-08-07,A4,1m,30,2026-09-07,3.6,-4.0,12.0,16.0,4.0,80,0.68,low,3,,0,model_A,,,
2026-08-07,A5,1d,1,2026-08-10,-0.1,-1.2,1.0,2.2,-0.1,80,0.46,medium,2,,0,model_A,,,
2026-08-07,A5,1w,7,2026-08-14,0.9,-3.0,5.0,8.0,1.0,80,0.57,low,3,,0,model_A,,,
2026-08-07,A5,1m,30,2026-09-07,2.0,-6.0,10.0,16.0,2.0,80,0.55,low,2,,0,model_A,,,
2026-08-08,A1,1d,1,2026-08-10,0.2,-1.5,2.0,3.5,0.25,80,0.55,medium,4,,1,model_A,,,
2026-08-08,A1,1w,7,2026-08-17,1.0,-4.0,6.0,10.0,1.0,80,0.57,low,4,,0,model_A,,,
2026-08-08,A1,1m,30,2026-09-08,3.0,-5.0,11.0,16.0,3.0,80,0.66,low,4,,0,model_A,,,
2026-08-08,A6,1d,1,2026-08-10,0.08,-0.15,0.35,0.5,0.1,80,0.6,medium,2,,0,model_A,,,
2026-08-08,A6,1w,7,2026-08-17,0.4,-0.15,1.0,1.15,0.425,80,0.76,medium,3,,0,model_A,,,
2026-08-08,A6,1m,30,2026-09-08,1.85,0.3,3.6,3.3,1.95,80,0.88,medium,3,,0,model_A,,,
2026-08-08,A2,1d,1,2026-08-10,-0.05,-1.4,1.4,2.8,0.0,80,0.48,medium,3,,1,model_A,,,
2026-08-08,A2,1w,7,2026-08-17,1.8,-3.5,6.5,10.0,1.5,80,0.64,low,3,,0,model_A,,,
2026-08-08,A2,1m,30,2026-09-08,3.5,-7.0,13.0,20.0,3.0,80,0.6,low,4,,0,model_A,,,
2026-08-08,A3,1d,1,2026-08-10,0.0,-1.6,1.6,3.2,0.0,80,0.49,low,3,,0,model_A,,,
2026-08-08,A3,1w,7,2026-08-17,1.4,-3.5,6.0,9.5,1.25,80,0.61,low,4,,0,model_A,,,
2026-08-08,A3,1m,30,2026-09-08,2.8,-7.0,12.0,19.0,2.5,80,0.58,low,4,,0,model_A,,,
2026-08-08,A4,1d,1,2026-08-10,0.95,-0.3,2.2,2.5,0.95,80,0.8,medium,3,,1,model_A,,,
2026-08-08,A4,1w,7,2026-08-17,1.85,-2.8,6.0,8.8,1.6,80,0.65,low,4,,0,model_A,,,
2026-08-08,A4,1m,30,2026-09-08,3.6,-4.0,11.0,15.0,3.5,80,0.68,low,3,,0,model_A,,,
2026-08-08,A5,1d,1,2026-08-10,-0.1,-1.6,1.5,3.1,-0.05,80,0.46,low,2,,0,model_A,,,
2026-08-08,A5,1w,7,2026-08-17,0.7,-3.2,5.0,8.2,0.9,80,0.56,low,3,,0,model_A,,,
2026-08-08,A5,1m,30,2026-09-08,2.0,-6.0,10.0,16.0,2.0,80,0.55,low,3,,0,model_A,,,
2026-08-09,A1,1d,1,2026-08-10,0.25,-1.5,2.0,3.5,0.25,80,0.56,medium,4,medium,0,model_A,,,
2026-08-09,A1,1w,7,2026-08-17,1.0,-4.5,6.5,11.0,1.0,80,0.57,low,4,high,0,model_A,,,
2026-08-09,A1,1m,30,2026-09-08,3.0,-5.0,11.0,16.0,3.0,80,0.66,low,3,medium,0,model_A,,,
2026-08-09,A6,1d,1,2026-08-10,0.08,-0.15,0.35,0.5,0.1,80,0.6,medium,2,,0,model_A,,,
2026-08-09,A6,1w,7,2026-08-17,0.4,-0.4,1.2,1.6,0.4,80,0.72,medium,4,high,0,model_A,,,
2026-08-09,A6,1m,30,2026-09-08,1.85,0.3,3.6,3.3,1.95,80,0.88,medium,4,high,0,model_A,,,
2026-08-09,A2,1d,1,2026-08-10,-0.05,-1.4,1.4,2.8,0.0,80,0.48,medium,3,,0,model_A,,,
2026-08-09,A2,1w,7,2026-08-17,1.7,-4.0,6.5,10.5,1.25,80,0.62,low,4,high,0,model_A,,,
2026-08-09,A2,1m,30,2026-09-08,3.5,-7.0,13.0,20.0,3.0,80,0.6,low,4,,0,model_A,,,
2026-08-09,A3,1d,1,2026-08-10,0.0,-1.6,1.6,3.2,0.0,80,0.49,low,3,,0,model_A,,,
2026-08-09,A3,1w,7,2026-08-17,1.35,-3.8,6.0,9.8,1.1,80,0.6,low,5,high,0,model_A,,,
2026-08-09,A3,1m,30,2026-09-08,2.8,-7.0,12.0,19.0,2.5,80,0.58,low,4,,0,model_A,,,
2026-08-09,A4,1d,1,2026-08-10,0.95,-0.3,2.2,2.5,0.95,80,0.8,medium,3,,1,model_A,,,
2026-08-09,A4,1w,7,2026-08-17,1.85,-3.0,6.2,9.2,1.6,80,0.65,low,5,high,0,model_A,,,
2026-08-09,A4,1m,30,2026-09-08,3.6,-4.0,11.0,15.0,3.5,80,0.68,low,3,,0,model_A,,,
2026-08-09,A5,1d,1,2026-08-10,-0.1,-1.6,1.5,3.1,-0.05,80,0.46,low,2,low,0,model_A,,,
2026-08-09,A5,1w,7,2026-08-17,0.7,-3.8,5.2,9.0,0.7,80,0.55,low,4,high,0,model_A,,,
2026-08-09,A5,1m,30,2026-09-08,2.0,-6.0,10.0,16.0,2.0,80,0.55,low,3,high,0,model_A,,,
2026-08-10,A1,1d,1,2026-08-11,0.3,-1.4,2.1,3.5,0.35,80,0.57,low,3,high,1,model_A,,,
2026-08-10,A1,1w,7,2026-08-17,1.2,-5.5,8.0,13.5,1.25,80,0.58,low,4,high,0,model_A,,,
2026-08-10,A1,1m,30,2026-09-09,3.0,-6.0,13.0,19.0,3.5,80,0.65,low,3,high,0,model_A,,,
2026-08-10,A6,1d,1,2026-08-11,0.08,-0.2,0.4,0.6,0.1,80,0.6,medium,2,,0,model_A,,,
2026-08-10,A6,1w,7,2026-08-17,0.4,-0.45,1.25,1.7,0.4,80,0.7,medium,3,medium,0,model_A,,,
2026-08-10,A6,1m,30,2026-09-09,1.85,0.2,3.7,3.5,1.95,80,0.87,medium,3,medium,0,model_A,,,
2026-08-10,A2,1d,1,2026-08-11,0.6,-1.8,3.2,5.0,0.7,80,0.62,low,2,high,0,model_A,,,
2026-08-10,A2,1w,7,2026-08-17,1.5,-4.5,7.0,11.5,1.25,80,0.6,low,4,high,0,model_A,,,
2026-08-10,A2,1m,30,2026-09-09,3.5,-8.0,14.0,22.0,3.0,80,0.6,low,3,high,0,model_A,,,
2026-08-10,A3,1d,1,2026-08-11,0.35,-1.6,2.4,4.0,0.4,80,0.58,low,2,high,0,model_A,,,
2026-08-10,A3,1w,7,2026-08-17,1.1,-4.0,6.0,10.0,1.0,80,0.58,low,4,high,0,model_A,,,
2026-08-10,A3,1m,30,2026-09-09,2.8,-7.5,12.5,20.0,2.5,80,0.58,low,3,,0,model_A,,,
2026-08-10,A4,1d,1,2026-08-11,0.3,-1.8,2.6,4.4,0.4,80,0.55,low,2,high,0,model_A,,,
2026-08-10,A4,1w,7,2026-08-17,1.2,-4.0,6.5,10.5,1.25,80,0.58,low,4,high,0,model_A,,,
2026-08-10,A4,1m,30,2026-09-09,2.6,-5.0,11.0,16.0,3.0,80,0.63,low,2,medium,0,model_A,,,
2026-08-10,A5,1d,1,2026-08-11,0.0,-1.8,1.8,3.6,0.0,80,0.5,low,1,high,0,model_A,,,
2026-08-10,A5,1w,7,2026-08-17,0.6,-4.0,5.5,9.5,0.75,80,0.55,low,3,medium,0,model_A,,,
2026-08-10,A5,1m,30,2026-09-09,2.0,-6.5,10.5,17.0,2.0,80,0.55,low,3,medium,0,model_A,,,
2026-08-11,A1,1d,1,2026-08-12,0.15,-1.4,1.8,3.2,0.2,80,0.54,low,4,high,0,model_A,,,
2026-08-11,A1,1w,7,2026-08-18,1.2,-5.5,8.0,13.5,1.25,80,0.58,low,3,high,0,model_A,,,
2026-08-11,A1,1m,30,2026-09-10,3.0,-6.5,13.5,20.0,3.5,80,0.65,low,4,high,0,model_A,,,
2026-08-11,A6,1d,1,2026-08-12,0.08,-0.2,0.4,0.6,0.1,80,0.6,medium,2,high,0,model_A,,,
2026-08-11,A6,1w,7,2026-08-18,0.4,-0.45,1.25,1.7,0.4,80,0.7,medium,3,,0,model_A,,,
2026-08-11,A6,1m,30,2026-09-10,1.85,0.0,4.0,4.0,2.0,80,0.85,medium,3,,0,model_A,,,
2026-08-11,A2,1d,1,2026-08-12,0.1,-2.0,2.3,4.3,0.15,80,0.51,low,2,high,0,model_A,,,
2026-08-11,A2,1w,7,2026-08-18,1.4,-4.5,7.0,11.5,1.25,80,0.59,low,3,high,0,model_A,,,
2026-08-11,A2,1m,30,2026-09-10,3.5,-8.0,14.0,22.0,3.0,80,0.6,low,3,,0,model_A,,,
2026-08-11,A3,1d,1,2026-08-12,0.1,-1.8,2.1,3.9,0.15,80,0.51,low,1,high,0,model_A,,,
2026-08-11,A3,1w,7,2026-08-18,1.1,-4.0,6.0,10.0,1.0,80,0.58,low,3,high,0,model_A,,,
2026-08-11,A3,1m,30,2026-09-10,2.8,-7.5,12.5,20.0,2.5,80,0.58,low,4,,0,model_A,,,
2026-08-11,A4,1d,1,2026-08-12,0.2,-1.7,2.2,3.9,0.25,80,0.53,low,3,high,0,model_A,,,
2026-08-11,A4,1w,7,2026-08-18,1.1,-4.0,6.5,10.5,1.25,80,0.57,low,4,high,0,model_A,,,
2026-08-11,A4,1m,30,2026-09-10,2.4,-5.0,11.0,16.0,3.0,80,0.62,low,2,,0,model_A,,,
2026-08-11,A5,1d,1,2026-08-12,0.1,-1.7,1.9,3.6,0.1,80,0.52,low,1,high,0,model_A,,,
2026-08-11,A5,1w,7,2026-08-18,0.6,-4.0,5.5,9.5,0.75,80,0.55,low,2,,0,model_A,,,
2026-08-11,A5,1m,30,2026-09-10,2.0,-7.0,11.0,18.0,2.0,80,0.55,low,2,,0,model_A,,,
2026-08-12,A1,1d,1,2026-08-13,0.3,-2.2,2.8,5.0,0.3,80,0.55,low,3,high,0,model_A,,,
2026-08-12,A1,1w,7,2026-08-19,1.0,-5.5,8.0,13.5,1.25,80,0.56,low,3,high,0,model_A,,,
2026-08-12,A1,1m,30,2026-09-11,2.7,-6.5,13.5,20.0,3.5,80,0.63,low,3,medium,0,model_A,,,
2026-08-12,A6,1d,1,2026-08-13,0.05,-0.25,0.45,0.7,0.1,80,0.58,medium,2,high,0,model_A,,,
2026-08-12,A6,1w,7,2026-08-19,0.35,-0.45,1.25,1.7,0.4,80,0.68,medium,3,low,0,model_A,,,
2026-08-12,A6,1m,30,2026-09-11,1.6,0.0,3.8,3.8,1.9,80,0.84,medium,3,low,0,model_A,,,
2026-08-12,A2,1d,1,2026-08-13,0.0,-2.4,2.6,5.0,0.1,80,0.5,low,2,high,0,model_A,,,
2026-08-12,A2,1w,7,2026-08-19,1.2,-4.5,7.0,11.5,1.25,80,0.57,low,3,high,0,model_A,,,
2026-08-12,A2,1m,30,2026-09-11,3.0,-8.0,14.0,22.0,3.0,80,0.58,low,3,low,0,model_A,,,
2026-08-12,A3,1d,1,2026-08-13,0.0,-2.2,2.4,4.6,0.1,80,0.5,low,3,high,0,model_A,,,
2026-08-12,A3,1w,7,2026-08-19,0.9,-4.0,6.0,10.0,1.0,80,0.56,low,3,high,0,model_A,,,
2026-08-12,A3,1m,30,2026-09-11,2.4,-7.5,12.5,20.0,2.5,80,0.56,low,4,low,0,model_A,,,
2026-08-12,A4,1d,1,2026-08-13,0.15,-2.1,2.5,4.6,0.2,80,0.52,low,3,high,0,model_A,,,
2026-08-12,A4,1w,7,2026-08-19,0.9,-4.0,6.5,10.5,1.25,80,0.56,low,4,high,0,model_A,,,
2026-08-12,A4,1m,30,2026-09-11,2.1,-5.0,11.0,16.0,3.0,80,0.6,low,2,low,0,model_A,,,
2026-08-12,A5,1d,1,2026-08-13,0.0,-1.9,2.0,3.9,0.05,80,0.5,low,1,medium,0,model_A,,,
2026-08-12,A5,1w,7,2026-08-19,0.5,-4.0,5.5,9.5,0.75,80,0.54,low,2,,0,model_A,,,
2026-08-12,A5,1m,30,2026-09-11,1.8,-7.0,11.0,18.0,2.0,80,0.54,low,2,,0,model_A,,,
2026-08-13,A1,1w,7,2026-08-20,0.9,-4.5,6.5,11.0,1.0,80,0.56,low,3,high,0,model_A,,,
2026-08-13,A1,1m,30,2026-09-14,2.5,-6.5,12.5,19.0,3.0,80,0.62,low,3,high,0,model_A,,,
2026-08-13,A6,1d,1,2026-08-14,0.05,-0.2,0.35,0.55,0.075,80,0.58,medium,2,high,0,model_A,,,
2026-08-13,A6,1w,7,2026-08-20,0.3,-0.4,1.1,1.5,0.35,80,0.68,medium,2,high,0,model_A,,,
2026-08-13,A6,1m,30,2026-09-14,1.4,-0.2,3.6,3.8,1.7,80,0.82,medium,3,,0,model_A,,,
2026-08-13,A2,1w,7,2026-08-20,1.2,-4.0,6.5,10.5,1.25,80,0.58,low,2,high,0,model_A,,,
2026-08-13,A2,1m,30,2026-09-14,2.8,-7.5,13.0,20.5,2.75,80,0.57,low,3,,0,model_A,,,
2026-08-13,A3,1w,7,2026-08-20,1.0,-3.8,5.8,9.6,1.0,80,0.57,low,3,high,0,model_A,,,
2026-08-13,A3,1m,30,2026-09-14,2.2,-7.0,12.0,19.0,2.5,80,0.56,low,3,,0,model_A,,,
2026-08-13,A4,1w,7,2026-08-20,0.7,-3.8,5.8,9.6,1.0,80,0.55,low,2,medium,0,model_A,,,
2026-08-13,A4,1m,30,2026-09-14,1.9,-5.0,10.5,15.5,2.75,80,0.58,low,2,,0,model_A,,,
2026-08-13,A5,1w,7,2026-08-20,0.6,-4.0,5.5,9.5,0.75,80,0.55,low,2,high,0,model_A,,,
2026-08-13,A5,1m,30,2026-09-14,1.8,-7.0,11.0,18.0,2.0,80,0.55,low,2,,0,model_A,,,
2026-08-13,A2,1d,1,2026-08-14,0.75,-1.25,2.75,4.0,0.75,80,0.68,low,3,high,1,model_A,,,
2026-08-13,A3,1d,1,2026-08-14,0.52,-1.4,2.6,4.0,0.6,80,0.63,low,3,high,0,model_A,,,
2026-08-13,A4,1d,1,2026-08-14,-1.0,-2.8,0.9,3.7,-0.95,80,0.27,low,2,high,0,model_A,,,
2026-08-13,A5,1d,1,2026-08-14,0.1,-1.6,1.8,3.4,0.1,80,0.52,low,2,medium,0,model_A,,,
