record_id,logged_date,event_date,latency_days,detected_by,is_repeat,prior_record,class_k,mechanism_k,score_effect
K33,2026-08-13,2026-08-01,12,agent,no,K25,measurement,reasoning,
K34,2026-08-13,2026-08-11,2,agent,yes,K26,model,reasoning,
K35,2026-08-13,2026-08-12,1,agent,no,K31,measurement,next_day_observation,
K36,2026-08-13,2026-08-12,1,agent,yes,K31,measurement,reasoning,
K37,2026-08-13,2026-08-11,2,agent,no,K28,data,cross_check,neutral
K38,2026-08-14,2026-08-14,0,agent,no,K13,engine,cross_check,
K39,2026-08-14,2026-08-04,10,agent,no,,engine,engine_warning,
K40,2026-08-14,2026-08-06,8,human,no,,engine,human,
K41,2026-08-15,2026-08-10,5,agent,yes,K38,data,cross_check,
K42,2026-08-16,2026-08-15,1,agent,yes,K41,data,cross_check,favorable
K43,2026-08-16,2026-08-14,2,human,no,,model,human,
K44,2026-08-17,2026-08-17,0,agent,no,,data,routine_flow,
K45,2026-08-17,2026-08-17,0,agent,no,,engine,cross_check,
K46,2026-08-17,2026-08-02,15,agent,yes,K17,measurement,routine_flow,
K47,2026-08-17,2026-08-16,1,human,no,,accounting,human,
K48,2026-08-17,2026-08-10,7,agent,no,,accounting,reconciliation,
K49,2026-08-18,2026-08-18,0,agent,no,,engine,routine_flow,
K50,2026-08-19,2026-08-14,5,agent,yes,K9,model,routine_flow,unfavorable
K51,2026-08-20,2026-08-19,1,agent,no,,model,routine_flow,unfavorable
K52,2026-08-20,2026-08-20,0,agent,yes,K49,engine,routine_flow,
K53,2026-08-21,2026-08-21,0,agent,yes,K49,engine,routine_flow,neutral
K54,2026-08-22,2026-08-15,7,agent,no,,measurement,routine_flow,neutral
K55,2026-08-22,2026-08-08,14,agent,yes,K41,data,routine_flow,favorable
K56,2026-08-22,2026-08-07,15,human,no,K30,institution,custodian_statement,unfavorable
K57,2026-08-22,2026-08-22,0,human,no,K29,verification,custodian_statement,
K58,2026-08-23,2026-08-22,1,agent,yes,K41,data,routine_flow,
K59,2026-08-23,2026-08-20,3,agent,no,K51,model,preregistered_test,favorable
K60,2026-08-24,2026-08-22,2,agent,no,K59,verification,routine_flow,neutral
K61,2026-08-25,2026-08-25,0,agent,no,K59,verification,routine_flow,
K62,2026-08-25,2026-08-25,0,human,no,K29,verification,human,neutral
K63,2026-08-26,2026-08-25,1,agent,no,K61,verification,routine_flow,favorable
K64,2026-08-26,2026-08-26,0,agent,no,K43,verification,routine_flow,
K65,2026-08-26,2026-08-12,14,agent,yes,K60,measurement,routine_flow,favorable
K66,2026-08-27,2026-08-27,0,human,no,K29,verification,custodian_statement,
K67,2026-08-27,2026-08-27,0,agent,yes,K49,engine,routine_flow,neutral
K68,2026-08-28,2026-08-27,1,agent,yes,K43,measurement,routine_flow,neutral
K69,2026-08-28,2026-08-28,0,agent,no,K63,verification,routine_flow,unfavorable
K70,2026-08-31,2026-08-01,30,agent,no,K1,model,routine_flow,favorable
K71,2026-08-31,2026-08-31,0,agent,no,K62,verification,preregistered_test,
K72,2026-09-01,2026-08-23,9,agent,yes,K58,data,routine_flow,unfavorable
K73,2026-09-01,2026-08-31,1,agent,yes,K51,model,preregistered_test,
K74,2026-09-01,2026-09-01,0,agent,no,,measurement,preregistered_test,favorable
K75,2026-09-01,2026-09-01,0,human,no,,measurement,human,
K76,2026-09-01,2026-08-04,28,agent,yes,K36,measurement,routine_flow,unfavorable
K77,2026-09-01,2026-08-13,19,agent,no,,measurement,routine_flow,neutral
K78,2026-09-02,2026-08-01,32,agent,yes,K52,measurement,reasoning,neutral
K79,2026-09-02,2026-08-28,5,agent,yes,K17,process,routine_flow,neutral
K79,2026-09-03,2026-08-04,30,agent,yes,K77,measurement,reasoning,neutral
K80,2026-09-03,2026-09-03,0,agent,yes,K53,measurement,adversarial_review,neutral
K81,2026-09-04,2026-08-14,21,human,yes,K43,institution,human,neutral
K82,2026-09-04,2026-09-03,1,agent,no,,process,routine_flow,neutral
K83,2026-09-04,2026-09-04,0,agent,yes,K79,measurement,adversarial_review,neutral
K84,2026-09-05,2026-09-05,0,agent,no,,engine,reasoning,unfavorable
K85,2026-09-06,2026-09-05,1,agent,yes,K72,data,cross_check,neutral
K86,2026-09-07,2026-08-21,17,agent,yes,K17,measurement,routine_flow,unfavorable
K87,2026-09-07,2026-09-06,1,agent,yes,K85,measurement,cross_check,neutral
K88,2026-09-07,2026-09-07,0,agent,yes,K15,institution,custodian_statement,neutral
K89,2026-09-07,2026-09-07,0,agent,no,,institution,custodian_statement,neutral
K90,2026-09-07,2026-09-07,0,agent,no,K29,verification,preregistered_test,favorable
K91,2026-09-07,2026-08-20,18,human,yes,K53,process,routine_flow,neutral
K92,2026-09-07,2026-08-01,37,human,no,,measurement,human,neutral
K93,2026-09-07,2026-08-03,35,agent,yes,K53,process,routine_flow,neutral
K94,2026-09-07,2026-09-07,0,agent,yes,K91,process,routine_flow,neutral
K95,2026-09-07,2026-08-01,37,human,no,,engine,routine_flow,neutral
K96,2026-09-07,2026-09-07,0,human,no,K95,process,routine_flow,neutral
K97,2026-09-07,2026-09-07,0,human,yes,K93,data,adversarial_review,unfavorable
K98,2026-09-08,2026-09-07,1,agent,yes,K17,measurement,cross_check,neutral
K99,2026-09-08,2026-08-04,35,agent,no,K79,measurement,engine_warning,neutral
K100,2026-09-08,2026-08-20,19,agent,yes,K97,measurement,cross_check,neutral
K101,2026-09-08,2026-08-20,19,human,yes,K99,process,human,neutral
K102,2026-09-08,2026-08-20,19,human,yes,K101,process,human,neutral
K103,2026-09-09,2026-08-01,39,agent,no,K5,engine,next_day_observation,favorable
